_id,AC No,AC Name,Sl no,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Vote Share (%)
3598,232,KAIJ,7,ASHOK BHAGOJI THORAT,Bahujan Maha Party,3557,2,3559,1.43
3599,232,KAIJ,8,ASHOK (DADA) LAXMAN ICHAKE,Rashtriya Maratha Party,139,0,139,0.06
3600,232,KAIJ,9,JEEVAN SHRIPATI GAIKWAD,Maharashtra Swarajya party,159,1,160,0.06
3601,232,KAIJ,10,SHEETAL MAHADEV ROKADE,Rashtriya Samaj Paksha,86,2,88,0.04
3602,232,KAIJ,11,SAHAS PANDHARINATH ADODE,Marathwada Mukti Morcha,75,0,75,0.03
3603,232,KAIJ,12,ASHISH ASHOK BHALERAO,Independent,490,2,492,0.2
3604,232,KAIJ,13,JAYSHRI GORAKH WAGHMARE,Independent,769,1,770,0.31
3605,232,KAIJ,14,DR. MAHAVIR DHARMARAJ SONWANE,Independent,1441,5,1446,0.58
3606,232,KAIJ,15,MILIND DAGADU ACHARYA,Independent,154,3,157,0.06
3607,232,KAIJ,16,LAHU MAHADEV BANSODE,Independent,286,1,287,0.12
3608,232,KAIJ,17,VIJAYKUMAR SUKHADE WAVHAL,Independent,455,4,459,0.18
3609,232,KAIJ,18,ADV. VISHAL GHANSHAM GHOBALE,Independent,464,0,464,0.19
3610,232,KAIJ,19,VAIBHAV VIVEK SWAMI,Independent,2005,2,2007,0.81
3611,232,KAIJ,20,ADV. SHIRISH MILINDRAO KAMBLE,Independent,182,2,184,0.07
3612,232,KAIJ,21,SACHIN BHIMRAO CHAVAN,Independent,162,13,175,0.07
3613,232,KAIJ,22,SATISH SUDAM PAYAL,Independent,961,1,962,0.39
3614,232,KAIJ,23,SANJAY PANDHARINATH SALVE,Independent,743,14,757,0.3
3615,232,KAIJ,24,SANJAY BABURAO HOLKAR,Independent,237,2,239,0.1
3616,232,KAIJ,25,SWAPNIL BABRUVAHAN OVHAL,Independent,728,6,734,0.3
3617,232,KAIJ,26,NOTA,None of the Above,644,18,662,0.27
3618,233,PARLI,1,DHANANJAY PANDITRAO MUNDE,Nationalist Congress Party,193355,1534,194889,75.97
3619,233,PARLI,2,DHONDIRAM LAXMAN UJGARE,Bahujan Samaj Party,1048,16,1064,0.41
3620,233,PARLI,3,RAJESAHEB SHRIKISHAN DESHMUKH,Nationalist Congress Party- Sharadchandra Pawar,54146,519,54665,21.31
3621,233,PARLI,4,KEDARNATH VAIJNATH JADHAV,Peasants And Workers Party of India,338,2,340,0.13
3622,233,PARLI,5,BHAGWAT BABANRAO VAIDYA,Vikas India Party,143,0,143,0.06
3623,233,PARLI,6,SAHAS PANDHARINATH ADODE,Marathwada Mukti Morcha,2571,2,2573,1
3624,233,PARLI,7,ALTAF KHAJAMIYA SYED,Independent,247,1,248,0.1
3625,233,PARLI,8,DAYANAND NARAYAN LANDGE,Independent,805,11,816,0.32
3626,233,PARLI,9,RAJESAHEB ALIAS RAJEBHAU SUBHASH DESHMUKH,Independent,231,4,235,0.09
3627,233,PARLI,10,SHAKER AHMED SHAIKH,Independent,179,1,180,0.07
3628,233,PARLI,11,HIDAYAT SADEKHALI SYED,Independent,484,1,485,0.19
3629,233,PARLI,12,NOTA,None of the Above,905,7,912,0.36
3630,234,LATUR RURAL,1,DHIRAJ VILASRAO DESHMUKH,Indian National Congress,104429,1027,105456,44.79
3631,234,LATUR RURAL,2,RAMESH KASHIRAM KARAD,Bharatiya Janata Party,111183,868,112051,47.59
3632,234,LATUR RURAL,3,SANTOSH GANPATRAO NAGARGOJE,Maharashtra Navnirman sena,3732,36,3768,1.6
3633,234,LATUR RURAL,4,DR. AJANIKAR VIJAY RAGHUNATHRAO,Vanchit Bahujan  Aaghadi,8771,53,8824,3.75
3634,234,LATUR RURAL,5,DR.NITIN WAGHE,Sampoorna Bharat Kranti Party,187,2,189,0.08
3635,234,LATUR RURAL,6,BALKISHAN SHANKAR ADSUL,Rashtriya Samaj Paksha,116,2,118,0.05
3636,234,LATUR RURAL,7,SAMADHAN BALIRAM GORE,Peoples Party of India (Democratic),155,4,159,0.07
3637,234,LATUR RURAL,8,SAMADHAN BHARAT SHINDE,Maharashtra Swarajya party,847,5,852,0.36
3638,234,LATUR RURAL,9,AMAN ISHWAR SURWASE,Independent,68,0,68,0.03
3639,234,LATUR RURAL,10,GADGALE RAJKUMAR MAROTI,Independent,77,0,77,0.03
3640,234,LATUR RURAL,11,ZETE SACHIN VITTHAL,Independent,205,5,210,0.09
3641,234,LATUR RURAL,12,DIPAK RAJABHAU INGALE,Independent,627,6,633,0.27
3642,234,LATUR RURAL,13,NANDKISHOR SHANKARRAO SALUNKE,Independent,123,3,126,0.05
