_id,AC No,AC Name,Sl no,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Vote Share (%)
1,1,AKKALKUWA,1,AMSHYA FULJI PADVI,Shiv Sena,72411,218,72629,31.55
2,1,AKKALKUWA,2,ADV K C PADAVI,Indian National Congress,69122,603,69725,30.29
3,1,AKKALKUWA,3,PADMAKAR VIJAYSING VALVI,Bharat Adivasi Party,8640,192,8832,3.84
4,1,AKKALKUWA,4,ENG. JELSING BIJALA PAWARA,Independent,2895,16,2911,1.26
5,1,AKKALKUWA,5,SARYA DHARMA PADVI,Independent,1466,7,1473,0.64
6,1,AKKALKUWA,6,SUSHILKUMAR JAHANGIR PAWARA,Independent,2524,5,2529,1.1
7,1,AKKALKUWA,7,DR. HEENA VIJAYKUMAR GAVIT,Independent,66746,285,67031,29.12
8,1,AKKALKUWA,8,NOTA,None of the Above,5066,5,5071,2.2
9,2,SHAHADA,1,RAJESH UDESING PADVI,Bharatiya Janata Party,145660,1179,146839,59.86
10,2,SHAHADA,2,RAJENDRAKUMAR KRISHNARAO GAVIT,Indian National Congress,92917,718,93635,38.17
11,2,SHAHADA,3,GOPAL SURESH BHANDARI,Independent,2376,20,2396,0.98
12,2,SHAHADA,4,NOTA,None of the Above,2409,16,2425,0.99
13,3,NANDURBAR,1,ENGG.KIRAN DAMODAR TADAVI,Indian National Congress,77740,1203,78943,32.87
14,3,NANDURBAR,2,VASUDEV NAMDEV GANGURDE,Maharashtra Navnirman sena,1194,15,1209,0.5
15,3,NANDURBAR,3,DR.VIJAYKUMAR KRUSHANRAO GAVIT,Bharatiya Janata Party,154025,1165,155190,64.62
16,3,NANDURBAR,4,FIROZ DAGDU TADVI,All India Hindustan Congress Party,988,1,989,0.41
17,3,NANDURBAR,5,ARIF RAJJAK TADAVI,Independent,261,1,262,0.11
18,3,NANDURBAR,6,DEVAMAN ZULAL THAKARE,Independent,248,7,255,0.11
19,3,NANDURBAR,7,MALTI DINKAR VALVI,Independent,363,4,367,0.15
20,3,NANDURBAR,8,RAVINDRA RANJIT VALVI,Independent,888,8,896,0.37
21,3,NANDURBAR,9,ROHIDAS GEMJI VALVI,Independent,419,5,424,0.18
22,3,NANDURBAR,10,NOTA,None of the Above,1620,14,1634,0.68
23,4,NAWAPUR,1,BHARAT MANIKRAO GAVIT,Nationalist Congress Party,55706,470,56176,23.29
24,4,NAWAPUR,2,SHIRISHKUMAR SURUPSING NAIK,Indian National Congress,86183,983,87166,36.14
25,4,NAWAPUR,3,ARVIND POSALYA VALVI,Bharat Adivasi Party,1170,12,1182,0.49
26,4,NAWAPUR,4,RANJIT VANTYA GAVIT,Peasants And Workers Party of India,2853,5,2858,1.18
27,4,NAWAPUR,5,ANIL MANJI VALVI,Independent,512,5,517,0.21
28,4,NAWAPUR,6,KAUSHALYA FATTESING GAVIT,Independent,756,3,759,0.31
29,4,NAWAPUR,7,DINESH KASHINATH VALVI,Independent,336,2,338,0.14
30,4,NAWAPUR,8,YAKUB ANIL GAVIT,Independent,612,3,615,0.25
31,4,NAWAPUR,9,SHARAD KRISHNARAO GAVIT,Independent,85657,388,86045,35.67
32,4,NAWAPUR,10,SHARADKUMAR GAVIT,Independent,1012,2,1014,0.42
33,4,NAWAPUR,11,SANJAY DINKAR VALVI,Independent,704,2,706,0.29
34,4,NAWAPUR,12,SANDIP WAMAN GAVIT,Independent,1099,1,1100,0.46
35,4,NAWAPUR,13,NOTA,None of the Above,2711,6,2717,1.13
36,5,SAKRI,1,PRAVIN (GOTU) BAPU CHAURE,Indian National Congress,97828,1237,99065,40.89
37,5,SAKRI,2,MANJULA TULSHIRAM GAVIT,Shiv Sena,103704,945,104649,43.2
38,5,SAKRI,3,RAMESH DOULAT SANE,Bahujan Samaj Party,1397,4,1401,0.58
39,5,SAKRI,4,ASHOK RAGHO SONAWANE,Maharashtra Swarajya party,2094,45,2139,0.88
40,5,SAKRI,5,YASHVANT DEVMAN MALCHE,Peasants And Workers Party of India,5455,13,5468,2.26
41,5,SAKRI,6,LAKHAN DEWAJI PAWAR,Bharat Adivasi Party,1127,8,1135,0.47
42,5,SAKRI,7,GULAB TANAJI PAWAR,Independent,543,4,547,0.23
43,5,SAKRI,8,DHARMENDRA BARKU BORSE,Independent,633,5,638,0.26
44,5,SAKRI,9,PRAVIN BAPU CHAURE,Independent,447,11,458,0.19
45,5,SAKRI,10,PRAVIN SUBHASH SONWANE,Independent,337,6,343,0.14
46,5,SAKRI,11,MIRA BABULAL SHINDE,Independent,481,8,489,0.2
47,5,SAKRI,12,MOTHAJI TUKARAM THAKARE,Independent,710,2,712,0.29
48,5,SAKRI,13,ER. MOHAN GOKUL SURYAWANSHI,Independent,14117,171,14288,5.9
49,5,SAKRI,14,YUVRAJ SAKHARAM THAKARE,Independent,691,3,694,0.29
50,5,SAKRI,15,RANJEET SHANTARAM GAWALI,Independent,1743,6,1749,0.72
51,5,SAKRI,16,RANJIT BHIVRAJ GAIKWAD,Independent,3532,3,3535,1.46
52,5,SAKRI,17,VAISHALI VISHVJIT RAUT,Independent,2183,2,2185,0.9
53,5,SAKRI,18,SANJAY SHIVAJI BAHIRAM,Independent,1610,10,1620,0.67
54,5,SAKRI,19,NOTA,None of the Above,1119,19,1138,0.47
55,6,DHULE RURAL,1,ANAND JAYRAM SAINDANE,Bahujan Samaj Party,956,13,969,0.33
56,6,DHULE RURAL,2,KUNALBABA ROHIDAS PATIL,Indian National Congress,102603,1475,104078,35.96
57,6,DHULE RURAL,3,RAGHAVENDRA (RAMDADA) MANOHAR PATIL,Bharatiya Janata Party,169039,1359,170398,58.87
58,6,DHULE RURAL,4,MANISHA ANIL BHIL,Bharat Adivasi Party,2018,14,2032,0.7
59,6,DHULE RURAL,5,AMRUTSAGAR SANTOSH PANDHARINATH,Independent,635,3,638,0.22
60,6,DHULE RURAL,6,RAJENDRA BHAGWAN PATIL,Independent,174,1,175,0.06
61,6,DHULE RURAL,7,SHIVAJI NATTHU PATIL,Independent,113,0,113,0.04
62,6,DHULE RURAL,8,SHAIKH SHAFIQUE LUKMAN KASAI,Independent,173,0,173,0.06
63,6,DHULE RURAL,9,SHRIKANT MADHAVRAO KARLE,Independent,234,2,236,0.08
64,6,DHULE RURAL,10,SUNITA SOPAN PATIL,Independent,628,7,635,0.22
65,6,DHULE RURAL,11,SURESH MURLIDHAR PATIL,Independent,664,0,664,0.23
66,6,DHULE RURAL,12,HILAL (AANNA) MALI,Independent,7895,87,7982,2.76
67,6,DHULE RURAL,13,NOTA,None of the Above,1322,10,1332,0.46
68,7,DHULE CITY,1,AGRAWAL ANUPBHAIYYA OMPRAKASH,Bharatiya Janata Party,115125,1413,116538,52.88
69,7,DHULE CITY,2,ANIL ANNA GOTE,Shiv Sena (Uddhav Balasaheb Thackeray),23496,808,24304,11.03
70,7,DHULE CITY,3,ANAND JAYRAM SAINDANE,Bahujan Samaj Party,344,5,349,0.16
71,7,DHULE CITY,4,JAHAGIRDAR IRSHAD,Samajwadi Party,1735,13,1748,0.79
72,7,DHULE CITY,5,JITUBHAU ALIAS JITENDRA UNDA SHIRSATH,Vanchit Bahujan  Aaghadi,5175,66,5241,2.38
73,7,DHULE CITY,6,SHAH FARUK ANWAR,All India Majlis-E-Ittehadul Muslimeen,70289,499,70788,32.12
74,7,DHULE CITY,7,ADV ANSARI RAEES AHMAD ABDUL QADIR,Independent,327,1,328,0.15
75,7,DHULE CITY,8,JITENDRA GANGADHAR MORE,Independent,203,3,206,0.09
76,7,DHULE CITY,9,NOTA,None of the Above,870,13,883,0.4
77,8,SINDKHEDA,1,JAYKUMAR JITENDRASINH RAWAL,Bharatiya Janata Party,150497,995,151492,66.98
78,8,SINDKHEDA,2,JADHAV - PATIL GULAB SANTOSH,Maharashtra Navnirman sena,1050,4,1054,0.47
79,8,SINDKHEDA,3,BEDSE SANDEEP TRYAMBAKRAO,Nationalist Congress Party- Sharadchandra Pawar,54981,627,55608,24.59
80,8,SINDKHEDA,4,BHAUSAHEB NAMDEV PAWAR,Bahujan Samaj Party,774,7,781,0.35
81,8,SINDKHEDA,5,GULAM AYYUB PINJARI,Minorities Democratic Party,687,1,688,0.3
82,8,SINDKHEDA,6,IQBAL BAHADUR TELI,Independent,143,0,143,0.06
83,8,SINDKHEDA,7,JUBER MUSHEER SHAIKH,Independent,277,2,279,0.12
84,8,SINDKHEDA,8,NAMDEO ROHIDAS YELAVE,Independent,292,10,302,0.13
85,8,SINDKHEDA,9,VASANT DHANARAJ PATIL,Independent,357,0,357,0.16
86,8,SINDKHEDA,10,VIJAY DAGADU BHOI,Independent,228,2,230,0.1
87,8,SINDKHEDA,11,SHAMKANT RAGHUNATH SANER,Independent,11777,109,11886,5.25
88,8,SINDKHEDA,12,SALIM KASAM PINJARI,Independent,1944,0,1944,0.86
89,8,SINDKHEDA,13,NOTA,None of the Above,1408,14,1422,0.63
90,9,SHIRPUR,1,KASHIRAM VECHAN PAWARA,Bharatiya Janata Party,176516,1557,178073,76.7
91,9,SHIRPUR,2,SANDIP DEVIDAS BHIL (BAGUL),Bahujan Samaj Party,2568,18,2586,1.11
92,9,SHIRPUR,3,BUDHA MALA PAWARA,Communist Party of India,9955,83,10038,4.32
93,9,SHIRPUR,4,GITANJALI SHASHIKANT KOLI,Independent,1612,20,1632,0.7
94,9,SHIRPUR,5,DR.JITENDRA YUVRAJ THAKUR,Independent,31806,323,32129,13.84
95,9,SHIRPUR,6,ADVOCATE VARSHA RAMESH VASAVE,Independent,5023,19,5042,2.17
96,9,SHIRPUR,7,NOTA,None of the Above,2651,13,2664,1.15
97,10,CHOPDA,1,CHANDRAKANT BALIRAM SONAWANE,Shiv Sena,121970,856,122826,55.18
98,10,CHOPDA,2,PRABHAKAR AAPPA GOTU SONAWANE,Shiv Sena (Uddhav Balasaheb Thackeray),89173,1340,90513,40.66
99,10,CHOPDA,3,YUVRAJ DEVSING BARELA,Bahujan Samaj Party,1271,24,1295,0.58
100,10,CHOPDA,4,SUNIL TUKARAM BHIL,Bharat Adivasi Party,1585,16,1601,0.72
101,10,CHOPDA,5,AMIT SIRAJ TADAVI,Independent,592,6,598,0.27
102,10,CHOPDA,6,AMINA BI RAJJAK TADAVI,Independent,317,7,324,0.15
103,10,CHOPDA,7,BALU SAHEBRAO KOLI,Independent,329,2,331,0.15
104,10,CHOPDA,8,SAMBHAJI MANGAL SONAWANE,Independent,557,5,562,0.25
105,10,CHOPDA,9,HIRALAL SURESH KOLI,Independent,2115,3,2118,0.95
106,10,CHOPDA,10,NOTA,None of the Above,2395,25,2420,1.09
107,11,RAVER,1,AMOL HARIBHAU JAWALE,Bharatiya Janata Party,112881,795,113676,49.3
108,11,RAVER,2,CHAUDHARI DHANANJAY SHIRISH,Indian National Congress,69238,876,70114,30.41
109,11,RAVER,3,NARAYAN HIRAMAN ADAKMOL,Bahujan Samaj Party,761,3,764,0.33
110,11,RAVER,4,ANIL CHHABILDAS CHAUDHARI,Prahar Janshakti Party,25017,153,25170,10.92
111,11,RAVER,5,ARIF KHALIQ SHAIKH,All India Majlis-E-Inquilab-E-Millat,348,1,349,0.15
112,11,RAVER,6,KHALLOBAI YUNUS TADAVI,All India Hindustan Congress Party,282,3,285,0.12
113,11,RAVER,7,MUSTAQ KAMAL MULLA,Aazad Samaj Party (Kanshi Ram),497,1,498,0.22
114,11,RAVER,8,SHAMEEBHA BHANUDAS PATIL,Vanchit Bahujan  Aaghadi,8404,49,8453,3.67
115,11,RAVER,9,DARA MOHAMMAD JAFAR MOHAMMAD,Independent,9681,133,9814,4.26
116,11,RAVER,10,NOTA,None of the Above,1463,14,1477,0.64
117,12,BHUSAWAL,1,DR RAJESH TUKARAM MANWATKAR,Indian National Congress,59141,630,59771,32.43
118,12,BHUSAWAL,2,RAHUL NARAYAN BANSODE,Bahujan Samaj Party,526,11,537,0.29
119,12,BHUSAWAL,3,SAVKARE SANJAY WAMAN,Bharatiya Janata Party,106096,1163,107259,58.2
120,12,BHUSAWAL,4,JAGAN DEORAM SONAWANE,Vanchit Bahujan  Aaghadi,3663,57,3720,2.02
121,12,BHUSAWAL,5,AJAY JIVARAM INGALE,Independent,499,5,504,0.27
122,12,BHUSAWAL,6,GAURAV DHANRAJ BAVISKAR,Independent,159,1,160,0.09
123,12,BHUSAWAL,7,JAGDALE PRATIBHA SUJIT,Independent,640,5,645,0.35
124,12,BHUSAWAL,8,SUSHIL DNYANESHWAR MORE,Independent,387,4,391,0.21
125,12,BHUSAWAL,9,SWATI KUNAL JANGALE,Independent,9664,100,9764,5.3
126,12,BHUSAWAL,10,NOTA,None of the Above,1510,28,1538,0.83
127,13,JALGAON CITY,1,DR. ANUJ KRUSHNA PATIL,Maharashtra Navnirman sena,1444,26,1470,0.61
128,13,JALGAON CITY,2,JAYASHRI SUNIL MAHAJAN,Shiv Sena (Uddhav Balasaheb Thackeray),62722,1311,64033,26.54
129,13,JALGAON CITY,3,SHAILAJA RAJESH SURWADE,Bahujan Samaj Party,841,13,854,0.35
130,13,JALGAON CITY,4,SURESH DAMU BHOLE (RAJU MAMA),Bharatiya Janata Party,150198,1338,151536,62.82
131,13,JALGAON CITY,5,MAMTA BHIKARI TADVI ALIAS MUMTAJ,Vikas India Party,522,11,533,0.22
132,13,JALGAON CITY,6,LALEETKUMAR RAMKISHOR GHOGALE,Vanchit Bahujan  Aaghadi,4165,26,4191,1.74
133,13,JALGAON CITY,7,SUNANDA VILAS SANDANSHIV,Hindustan Janta Party,100,0,100,0.04
134,13,JALGAON CITY,8,ANIL PITAMBAR  WAGH (SIR) ALIAS PRAVIN MAMA,Independent,167,4,171,0.07
135,13,JALGAON CITY,9,AFASAR ABDUL HAMID,Independent,193,0,193,0.08
136,13,JALGAON CITY,10,DR. ASHWIN SHANTARAM SONAWANE,Independent,6801,119,6920,2.87
137,13,JALGAON CITY,11,AHEMAD HUSSAIN SHAIKH (AHEMAD SIR),Independent,537,12,549,0.23
138,13,JALGAON CITY,12,PROF. DR. ASHISH S. BADGUJAR (HAPPY MIRROR),Independent,86,0,86,0.04
139,13,JALGAON CITY,13,UJWAL SURESH PATIL,Independent,210,2,212,0.09
140,13,JALGAON CITY,14,KULBHUSHAN VIRBHAN PATIL,Independent,2939,96,3035,1.26
141,13,JALGAON CITY,15,GOKUL RAMESH CHAVHAN,Independent,410,0,410,0.17
142,13,JALGAON CITY,16,ADV. GOVIND JANKIRAM TIWARI,Independent,322,3,325,0.13
143,13,JALGAON CITY,17,JAYSHRI SUNIL MAHAJAN,Independent,2070,23,2093,0.87
144,13,JALGAON CITY,18,PRADEEP (BABLU) SHANKAR AVHAD,Independent,639,1,640,0.27
145,13,JALGAON CITY,19,PRAMOD BALEERAM PATIL,Independent,312,2,314,0.13
146,13,JALGAON CITY,20,MAYUR CHANDRAKANT KAPASE,Independent,877,17,894,0.37
147,13,JALGAON CITY,21,MAHESH LAXMEENARAYAN VARMA,Independent,104,1,105,0.04
148,13,JALGAON CITY,22,VITTHAL ASHOK MORE,Independent,105,0,105,0.04
149,13,JALGAON CITY,23,VINOD DAMU ADHALKE,Independent,101,0,101,0.04
150,13,JALGAON CITY,24,SHIVRAM PATIL,Independent,186,4,190,0.08
151,13,JALGAON CITY,25,SHAIKH HUSEN SHAIKH BALDAR (HUSEN BABA SABARI),Independent,207,0,207,0.09
152,13,JALGAON CITY,26,SAYYAD FARUQ SAYYAD GAFFAR,Independent,128,2,130,0.05
153,13,JALGAON CITY,27,SALUNKE SAGAR BHIMRAO,Independent,196,1,197,0.08
154,13,JALGAON CITY,28,SITARAM DIVAKAR MORE,Independent,260,1,261,0.11
155,13,JALGAON CITY,29,SANGRAAMSINH SURESH SURYAWANSHI (PATIL),Independent,283,2,285,0.12
156,13,JALGAON CITY,30,NOTA,None of the Above,1060,36,1096,0.45
157,14,JALGAON RURAL,1,GULABRAO BABURAO DEOKAR,Nationalist Congress Party- Sharadchandra Pawar,83461,715,84176,35.75
158,14,JALGAON RURAL,2,GULABRAO RAGHUNATH PATIL,Shiv Sena,142591,817,143408,60.9
159,14,JALGAON RURAL,3,MUKUNDA ANANDA ROTE,Maharashtra Navnirman sena,1612,7,1619,0.69
160,14,JALGAON RURAL,4,KISHOR MADHUKAR ZOPE,Hindustan Janta Party,181,1,182,0.08
161,14,JALGAON RURAL,5,PRAVIN JAGAN SAPKALE,Vanchit Bahujan  Aaghadi,1424,11,1435,0.61
162,14,JALGAON RURAL,6,GULABRAO RAGHUNATH PATIL,Independent,179,2,181,0.08
163,14,JALGAON RURAL,7,PRASAD LILADHAR TAYADE,Independent,96,0,96,0.04
164,14,JALGAON RURAL,8,BHAGWAN DAMU SONWANE,Independent,897,2,899,0.38
165,14,JALGAON RURAL,9,BHARAT DEVCHAND PATIL,Independent,298,1,299,0.13
166,14,JALGAON RURAL,10,SHIVAJI MAHARU HATKAR,Independent,369,3,372,0.16
167,14,JALGAON RURAL,11,SONI SANTOSH NETKE,Independent,997,2,999,0.42
168,14,JALGAON RURAL,12,NOTA,None of the Above,1794,9,1803,0.77
169,15,AMALNER,1,DR. ANIL NATHU SHINDE,Indian National Congress,13350,448,13798,6.74
170,15,AMALNER,2,ANIL BHAIDAS PATIL,Nationalist Congress Party,108340,1105,109445,53.5
171,15,AMALNER,3,SACHIN ASHOK BAVISKAR,Bahujan Samaj Party,707,11,718,0.35
172,15,AMALNER,4,ANIL BHAIDAS PATIL,Independent,515,7,522,0.26
173,15,AMALNER,5,AMOL RAMESH PATIL,Independent,142,3,145,0.07
174,15,AMALNER,6,CHHABILAL LALCHAND BHIL,Independent,114,2,116,0.06
175,15,AMALNER,7,NIMBA DHUDKU PATIL,Independent,171,3,174,0.09
176,15,AMALNER,8,PROF. PRATIBHA RAVINDRA PATIL,Independent,319,8,327,0.16
177,15,AMALNER,9,YASHVANT UDAYSING MALCHE,Independent,156,2,158,0.08
178,15,AMALNER,10,RATAN BHANU BHIL,Independent,812,0,812,0.4
179,15,AMALNER,11,SHIRISH HIRALAL CHAUDHARI,Independent,75300,710,76010,37.16
180,15,AMALNER,12,SHIVAJI DAULAT PATIL,Independent,1006,7,1013,0.5
181,15,AMALNER,13,NOTA,None of the Above,1314,15,1329,0.65
182,16,ERANDOL,1,ANNASAHEB DR. SATISH BHASKARRAO PATIL,Nationalist Congress Party- Sharadchandra Pawar,44163,593,44756,21.97
183,16,ERANDOL,2,AMOL CHIMANRAO PATIL,Shiv Sena,100327,761,101088,49.63
184,16,ERANDOL,3,ER. PRASHANT DINKAR PATIL,Swabhimani Paksha,502,2,504,0.25
185,16,ERANDOL,4,AMIT RAJENDRA PATIL,Independent,1643,60,1703,0.84
186,16,ERANDOL,5,ARUN ROHIDAS JAGTAP (NHAVI),Independent,202,2,204,0.1
187,16,ERANDOL,6,AANNASAHEB SATISH BHASKARRAO PAWAR (PATIL),Independent,238,1,239,0.12
188,16,ERANDOL,7,DATTU RANGRAO PATIL,Independent,124,2,126,0.06
189,16,ERANDOL,8,A. T. NANA PATIL,Independent,1522,54,1576,0.77
190,16,ERANDOL,9,BHAGWAN ASARAM PATIL (MAHAJAN),Independent,41143,252,41395,20.32
191,16,ERANDOL,10,SUNIL RAMESH MORE,Independent,975,2,977,0.48
192,16,ERANDOL,11,DR. SAMBHAJIRAJE R. PATIL,Independent,2802,43,2845,1.4
193,16,ERANDOL,12,ER. SWAPNIL BHAGWAN PATIL,Independent,371,2,373,0.18
194,16,ERANDOL,13,DR. HARSHAL MANOHAR MANE (PATIL),Independent,6341,32,6373,3.13
195,16,ERANDOL,14,NOTA,None of the Above,1498,11,1509,0.74
196,17,CHALISGAON,1,UNMESH BHAIYYASAHEB PATIL,Shiv Sena (Uddhav Balasaheb Thackeray),70273,1175,71448,30.51
197,17,CHALISGAON,2,MANGESH RAMESH CHAVAN,Bharatiya Janata Party,155304,1797,157101,67.08
198,17,CHALISGAON,3,RAJARAM BARAKU MORE,Bahujan Samaj Party,1072,17,1089,0.46
199,17,CHALISGAON,4,VALMIK SUBHASH GARUD (ABASAHEB GARUD),Sainik Samaj Party,530,20,550,0.23
200,17,CHALISGAON,5,SANDIP ASHOK LANDGE,Rashtriya Janmanch (Secular),431,5,436,0.19
201,17,CHALISGAON,6,KIRAN MAGAN SONAWANE,Independent,274,1,275,0.12
202,17,CHALISGAON,7,MANGESH KAILAS CHAVAN,Independent,515,1,516,0.22
203,17,CHALISGAON,8,SUNIL TARACHAND MORE,Independent,972,0,972,0.42
204,17,CHALISGAON,9,NOTA,None of the Above,1797,16,1813,0.77
205,18,PACHORA,1,KISHOR APPA PATIL,Shiv Sena,96278,1088,97366,41.98
206,18,PACHORA,2,VAISHALITAI NARENDRASINGH SURYAWANSHI,Shiv Sena (Uddhav Balasaheb Thackeray),57976,701,58677,25.3
207,18,PACHORA,3,SATISH ARJUN BIRHADE,Bahujan Samaj Party,582,9,591,0.25
208,18,PACHORA,4,AMIT MANKHA TADAVEE,Vanchit Bahujan  Aaghadi,689,9,698,0.3
209,18,PACHORA,5,NANASAHEB PRATAP HARI PATIL,Maharashtra Swarajya party,5477,211,5688,2.45
210,18,PACHORA,6,MANGO PUNDLIK PAGARE,Bahujan Maha Party,473,2,475,0.2
211,18,PACHORA,7,AMOL PANDITRAO SHINDE,Independent,57330,741,58071,25.04
212,18,PACHORA,8,AMOL BHAU SHINDE,Independent,707,13,720,0.31
213,18,PACHORA,9,DILIPBHAU ONKAR WAGH,Independent,4869,390,5259,2.27
214,18,PACHORA,10,DR. NILKANTH NARAHAR PATIL,Independent,1136,10,1146,0.49
215,18,PACHORA,11,MANOHAR AANNA SASANE,Independent,308,1,309,0.13
216,18,PACHORA,12,VAISHALITAI SURYAWANSHI,Independent,998,7,1005,0.43
217,18,PACHORA,13,NOTA,None of the Above,1902,9,1911,0.82
218,19,JAMNER,1,KHODAPE DILIP BALIRAM (SIR),Nationalist Congress Party- Sharadchandra Pawar,100774,1008,101782,42.59
219,19,JAMNER,2,GIRISH DATTATRAY MAHAJAN,Bharatiya Janata Party,127266,1401,128667,53.84
220,19,JAMNER,3,VISHAL HARIBHAU MORE,Bahujan Samaj Party,857,3,860,0.36
221,19,JAMNER,4,ANNASAHEB RAMCHANDRA RATHOD,Hindu Samaj Party,186,2,188,0.08
222,19,JAMNER,5,PRABHAKAR PANDHARI SALVE,Rashtriya Samaj Paksha,183,1,184,0.08
223,19,JAMNER,6,MADANBHAU SHANKAR CHAVAN,Bhartiya Jan Samrat Party,137,1,138,0.06
224,19,JAMNER,7,ANIL RANGNATH PATIL,Independent,220,3,223,0.09
225,19,JAMNER,8,DILIP MOTIRAM KHAMANAKAR,Independent,2332,4,2336,0.98
226,19,JAMNER,9,RAJENDRA SUBHASH KHARE,Independent,369,10,379,0.16
227,19,JAMNER,10,RAHULROY ASHOK MULE,Independent,2076,19,2095,0.88
228,19,JAMNER,11,NOTA,None of the Above,2131,11,2142,0.9
229,20,MUKTAINAGAR,1,ANIL GAMBHIR MORE,Bahujan Samaj Party,658,6,664,0.31
230,20,MUKTAINAGAR,2,ANIL BABURAO GANGATIRE,Maharashtra Navnirman sena,963,9,972,0.45
231,20,MUKTAINAGAR,3,ADV. KHADSE ROHINI EKNATHRAO,Nationalist Congress Party- Sharadchandra Pawar,87656,758,88414,40.82
232,20,MUKTAINAGAR,4,CHANDRAKANT NIMBA PATIL,Shiv Sena,111601,717,112318,51.86
233,20,MUKTAINAGAR,5,ASHOK BABURAO JADHAV,Peoples Party of India (Democratic),720,1,721,0.33
234,20,MUKTAINAGAR,6,SANJAY PANDIT BRAMHANE,Vanchit Bahujan  Aaghadi,5435,36,5471,2.53
235,20,MUKTAINAGAR,7,ARJUN TULSHIRAM PATIL,Independent,140,2,142,0.07
236,20,MUKTAINAGAR,8,ISHWAR BHAGWAT SAPKAL,Independent,128,0,128,0.06
237,20,MUKTAINAGAR,9,UMAKANT AATMARAM MARATHE,Independent,1642,1,1643,0.76
238,20,MUKTAINAGAR,10,KAWALE ROHINI,Independent,119,1,120,0.06
239,20,MUKTAINAGAR,11,KHADASE ROHINI,Independent,187,6,193,0.09
240,20,MUKTAINAGAR,12,KHADASE ROHINITAI,Independent,583,0,583,0.27
241,20,MUKTAINAGAR,13,CHANDRAKANT PATIL,Independent,924,3,927,0.43
242,20,MUKTAINAGAR,14,CHANDRAKANTBHAU PATIL,Independent,944,0,944,0.44
243,20,MUKTAINAGAR,15,JAFAR ALI MAKSUD ALI,Independent,224,0,224,0.1
244,20,MUKTAINAGAR,16,VINOD NAMDEO SONAWANE,Independent,2316,16,2332,1.08
245,20,MUKTAINAGAR,17,SURESH RUPA TAYADE,Independent,126,0,126,0.06
246,20,MUKTAINAGAR,18,NOTA,None of the Above,645,11,656,0.3
247,21,MALKAPUR,1,INGALE DHIRAJ  DHAMMAPAL,Bahujan Samaj Party,767,9,776,0.37
248,21,MALKAPUR,2,EKDE RAJESH PANDITRAO,Indian National Congress,82340,1184,83524,40.25
249,21,MALKAPUR,3,CHAINSUKH  MADANLAL  SANCHETI,Bharatiya Janata Party,108961,960,109921,52.98
250,21,MALKAPUR,4,SK. IMRAN  SK. BISMILLA,Indian Union Muslim League,555,1,556,0.27
251,21,MALKAPUR,5,INTEZAR  SAFDAR HUSSAIN,Minorities Democratic Party,171,0,171,0.08
252,21,MALKAPUR,6,PRAVIN LAXMAN  PATIL,Rashtriya Samaj Paksha,131,2,133,0.06
253,21,MALKAPUR,7,BALIRAM KRUSHNA DHADE,Jai Hind Jai Bharat Rashtriya Party,175,8,183,0.09
254,21,MALKAPUR,8,DR. MOHMMAD  ZAMEER SABIRODDIN,Vanchit Bahujan  Aaghadi,9253,63,9316,4.49
255,21,MALKAPUR,9,DR.KOLTE  YOGENDRA  VITTHAL,Independent,150,4,154,0.07
256,21,MALKAPUR,10,GAWHAD  VIJAY PRALHAD,Independent,77,3,80,0.04
257,21,MALKAPUR,11,CHOPADE BHIVA  SADASHIV,Independent,203,9,212,0.1
258,21,MALKAPUR,12,JAFAR KHAN AFASAR KHAN,Independent,238,0,238,0.11
259,21,MALKAPUR,13,NASIR A. RAZZAK,Independent,169,1,170,0.08
260,21,MALKAPUR,14,SHAIKH AKIL  SHAIKH MAJID,Independent,570,0,570,0.27
261,21,MALKAPUR,15,SHAIKH AABID  SHAIKH BASHIR,Independent,440,0,440,0.21
262,21,MALKAPUR,16,NOTA,None of the Above,1036,9,1045,0.5
263,22,BULDHANA,1,GAIKWAD SANJAY RAMBHAU,Shiv Sena,90457,1203,91660,47.06
264,22,BULDHANA,2,JAYSHREE SUNIL SHELKE,Shiv Sena (Uddhav Balasaheb Thackeray),88984,1835,90819,46.63
265,22,BULDHANA,3,VIJAY RAMAKRUSHNA KALE,Bahujan Samaj Party,636,15,651,0.33
266,22,BULDHANA,4,PRASHANT UTTAM WAGHODE,Vanchit Bahujan  Aaghadi,7084,62,7146,3.67
267,22,BULDHANA,5,PREMLATA PRAKASH SONONE,Maharashtra Swarajya party,423,2,425,0.22
268,22,BULDHANA,6,MOHAMMAD GUFRAN DIWAN,Swabhimani Paksha,135,0,135,0.07
269,22,BULDHANA,7,BHAI VIKAS PRAKASH NANDVE,Rashtriya Samaj Paksha,86,0,86,0.04
270,22,BULDHANA,8,SATISH RAMESH PAWAR,Aazad Samaj Party (Kanshi Ram),406,10,416,0.21
271,22,BULDHANA,9,SATISHCHANDRA DINKAR ROTHE PATIL,Maharashtra Vikas Aghadi,167,1,168,0.09
272,22,BULDHANA,10,ARUN SANTOSHRAO SUSAR,Independent,90,1,91,0.05
273,22,BULDHANA,11,JAYSHRI RAVINDRA SHELKE,Independent,638,13,651,0.33
274,22,BULDHANA,12,NILESH ASHOK HIWALE,Independent,430,1,431,0.22
